"sektori","kod","naeti","year","quarter"
"Производство на облекло","C14",107178,2011,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",17085,2011,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",15154,2011,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",9288,2011,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",9476,2011,"Q1"
"Производство на химични продукти","C20",13212,2011,"Q1"
"Производство на изделия от каучук и пластмаси","C22",23246,2011,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",21687,2011,"Q1"
"Производство на основни метали","C24",13411,2011,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",51326,2011,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",8052,2011,"Q1"
"Производство на електрически съоръжения","C27",17888,2011,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",29339,2011,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",12358,2011,"Q1"
"Производство на превозни средства, без автомобили","C30",5020,2011,"Q1"
"Производство на мебели","C31",21106,2011,"Q1"
"Производство, некласифицирано другаде ","C32",7322,2011,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",16102,2011,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",31329,2011,"Q1"
"Събиране,пречистване и доставяне на води","Е36",18157,2011,"Q1"
"Продукти за междинно потребление","MIG_ING",156169,2011,"Q1"
"Енергийни продукти","MIG_NRG",65985,2011,"Q1"
"Инвестиционни продукти","MIG_CAG",94371,2011,"Q1"
"Потребителски дълготрайни продукти","MIG_DCOG",28134,2011,"Q1"
"Потребителски недълготрайни продукти","MIG_NDCOG",250675,2011,"Q1"
"Строителство","F",154835,2011,"Q1"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",36989,2011,"Q1"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",151689,2011,"Q1"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",226287,2011,"Q1"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",211558,2011,"Q1"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",84613,2011,"Q1"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",141674,2011,"Q1"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",126945,2011,"Q1"
"Транспорт, складиране и пощи - общо","H",140792,2011,"Q1"
"Сухопътен транспорт ","H49",83341,2011,"Q1"
"Воден транспорт","H50",3290,2011,"Q1"
"Въздушен транспорт","H51",2968,2011,"Q1"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",31936,2011,"Q1"
"Пощенски и куриерски услуги","H53",19257,2011,"Q1"
"Хотелиерство и ресторантьорство","I",108839,2011,"Q1"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",62363,2011,"Q1"
"Издателска дейност","J58",6138,2011,"Q1"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2187,2011,"Q1"
"Радио- и телевизионна дейност","J60",3275,2011,"Q1"
"Далекосъобщения","J61",21265,2011,"Q1"
"Дейности в областта на информационните технологии","J62",24469,2011,"Q1"
"Информационни услуги","J63",5029,2011,"Q1"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",60233,2011,"Q1"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",89110,2011,"Q1"
"Добивна промишленост","B",25277,2011,"Q2"
"Добив на въглища","B05",13349,2011,"Q2"
"Добив на метални руди","B07",6659,2011,"Q2"
"Добив на неметални материали и суровини","B08",4515,2011,"Q2"
"Преработваща промишленост","C",520190,2011,"Q2"
"Производство на хранителни продукти ","C10",83785,2011,"Q2"
"Производство на напитки","C11",14198,2011,"Q2"
"Производство на тютюневи изделия ","C12",3917,2011,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",11203,2011,"Q2"
"Производство на облекло","C14",106300,2011,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",17235,2011,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",15590,2011,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",9159,2011,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",9658,2011,"Q2"
"Производство на химични продукти","C20",13033,2011,"Q2"
"Производство на изделия от каучук и пластмаси","C22",22900,2011,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",22311,2011,"Q2"
"Производство на основни метали","C24",12465,2011,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",50641,2011,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",8232,2011,"Q2"
"Производство на електрически съоръжения","C27",17880,2011,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",29424,2011,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",12780,2011,"Q2"
"Производство на превозни средства, без автомобили","C30",4918,2011,"Q2"
"Производство на мебели","C31",20889,2011,"Q2"
"Производство, некласифицирано другаде ","C32",7377,2011,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",16338,2011,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",31484,2011,"Q2"
"Събиране,пречистване и доставяне на води","Е36",18237,2011,"Q2"
"Продукти за междинно потребление","MIG_ING",155607,2011,"Q2"
"Енергийни продукти","MIG_NRG",66153,2011,"Q2"
"Инвестиционни продукти","MIG_CAG",94335,2011,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",28059,2011,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",251034,2011,"Q2"
"Строителство","F",153424,2011,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",36728,2011,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",153893,2011,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",224449,2011,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",209530,2011,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",82576,2011,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",141873,2011,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",126954,2011,"Q2"
"Транспорт, складиране и пощи - общо","H",143078,2011,"Q2"
"Сухопътен транспорт ","H49",84167,2011,"Q2"
"Воден транспорт","H50",3060,2011,"Q2"
"Въздушен транспорт","H51",2697,2011,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",34266,2011,"Q2"
"Пощенски и куриерски услуги","H53",18888,2011,"Q2"
"Хотелиерство и ресторантьорство","I",148412,2011,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",63724,2011,"Q2"
"Издателска дейност","J58",6184,2011,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2156,2011,"Q2"
"Радио- и телевизионна дейност","J60",3326,2011,"Q2"
"Далекосъобщения","J61",21668,2011,"Q2"
"Дейности в областта на информационните технологии","J62",25349,2011,"Q2"
"Информационни услуги","J63",5041,2011,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",59524,2011,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",91675,2011,"Q2"
"Добивна промишленост","B",25487,2011,"Q3"
"Добив на въглища","B05",13271,2011,"Q3"
"Добив на метални руди","B07",7059,2011,"Q3"
"Добив на неметални материали и суровини","B08",4402,2011,"Q3"
"Преработваща промишленост","C",516759,2011,"Q3"
"Производство на хранителни продукти ","C10",84141,2011,"Q3"
"Производство на напитки","C11",14214,2011,"Q3"
"Производство на тютюневи изделия ","C12",3786,2011,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",10898,2011,"Q3"
"Производство на облекло","C14",104746,2011,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",16927,2011,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",15554,2011,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",8932,2011,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",9424,2011,"Q3"
"Производство на химични продукти","C20",12939,2011,"Q3"
"Производство на изделия от каучук и пластмаси","C22",22950,2011,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",22258,2011,"Q3"
"Производство на основни метали","C24",11856,2011,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",50790,2011,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",8053,2011,"Q3"
"Производство на електрически съоръжения","C27",17998,2011,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",28945,2011,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",12920,2011,"Q3"
"Производство на превозни средства, без автомобили","C30",4803,2011,"Q3"
"Производство на мебели","C31",21301,2011,"Q3"
"Производство, некласифицирано другаде ","C32",7347,2011,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",15969,2011,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",31255,2011,"Q3"
"Събиране,пречистване и доставяне на води","Е36",18308,2011,"Q3"
"Продукти за междинно потребление","MIG_ING",154514,2011,"Q3"
"Енергийни продукти","MIG_NRG",65891,2011,"Q3"
"Инвестиционни продукти","MIG_CAG",93618,2011,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",28480,2011,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",249306,2011,"Q3"
"Строителство","F",151569,2011,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",36248,2011,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",148790,2011,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",222332,2011,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",207322,2011,"Q3"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",81172,2011,"Q3"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",141160,2011,"Q3"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",126150,2011,"Q3"
"Транспорт, складиране и пощи - общо","H",141390,2011,"Q3"
"Сухопътен транспорт ","H49",84119,2011,"Q3"
"Воден транспорт","H50",2940,2011,"Q3"
"Въздушен транспорт","H51",2599,2011,"Q3"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",32521,2011,"Q3"
"Пощенски и куриерски услуги","H53",19211,2011,"Q3"
"Хотелиерство и ресторантьорство","I",131981,2011,"Q3"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",63917,2011,"Q3"
"Издателска дейност","J58",6053,2011,"Q3"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2090,2011,"Q3"
"Радио- и телевизионна дейност","J60",3298,2011,"Q3"
"Далекосъобщения","J61",21499,2011,"Q3"
"Дейности в областта на информационните технологии","J62",25691,2011,"Q3"
"Информационни услуги","J63",5286,2011,"Q3"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",58644,2011,"Q3"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",90251,2011,"Q3"
"Добивна промишленост","B",24474,2011,"Q4"
"Добив на въглища","B05",13127,2011,"Q4"
"Добив на метални руди","B07",6811,2011,"Q4"
"Добив на неметални материали и суровини","B08",3799,2011,"Q4"
"Преработваща промишленост","C",500479,2011,"Q4"
"Производство на хранителни продукти ","C10",77181,2011,"Q4"
"Производство на напитки","C11",13521,2011,"Q4"
"Производство на тютюневи изделия ","C12",3083,2011,"Q4"
"Производство на текстил и изделия от текстил, без  облекло","C13",10678,2011,"Q4"
"Производство на облекло","C14",103707,2011,"Q4"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",16966,2011,"Q4"
"Производство на дървен материал и изделия от него, без мебели","C16",15087,2011,"Q4"
"Производство на хартия, картон и изделия от хартия и картон","C17",8513,2011,"Q4"
"Печатна дейност и възпроизвеждане на записани носители","C18",8800,2011,"Q4"
"Производство на химични продукти","C20",12922,2011,"Q4"
"Производство на изделия от каучук и пластмаси","C22",22179,2011,"Q4"
"Производство на изделия от други неметални  минерални суровини","C23",20764,2011,"Q4"
"Производство на основни метали","C24",11410,2011,"Q4"
"Производство на метални изделия, без машини и оборудване ","C25",50518,2011,"Q4"
"Производство на компютърна  техника, електронни и оптични продукти","C26",7970,2011,"Q4"
"Производство на електрически съоръжения","C27",17862,2011,"Q4"
"Производство на машини и оборудване, с общо и специално предназначение","C28",28527,2011,"Q4"
"Производство на автомобили, ремаркета и полуремаркета","C29",12437,2011,"Q4"
"Производство на превозни средства, без автомобили","C30",4859,2011,"Q4"
"Производство на мебели","C31",20508,2011,"Q4"
"Производство, некласифицирано другаде ","C32",7460,2011,"Q4"
"Ремонт и инсталиране на машини и оборудване","C33",15495,2011,"Q4"
"Производство и разпределение на електрическа и топлоенергия и газ","D",30809,2011,"Q4"
"Събиране,пречистване и доставяне на води","Е36",18152,2011,"Q4"
"Продукти за междинно потребление","MIG_ING",149531,2011,"Q4"
"Енергийни продукти","MIG_NRG",65106,2011,"Q4"
"Инвестиционни продукти","MIG_CAG",91637,2011,"Q4"
"Потребителски дълготрайни продукти","MIG_DCOG",27752,2011,"Q4"
"Потребителски недълготрайни продукти","MIG_NDCOG",239888,2011,"Q4"
"Строителство","F",140098,2011,"Q4"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",35726,2011,"Q4"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",143307,2011,"Q4"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",218970,2011,"Q4"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",204218,2011,"Q4"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",79668,2011,"Q4"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",139302,2011,"Q4"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",124550,2011,"Q4"
"Транспорт, складиране и пощи - общо","H",136080,2011,"Q4"
"Сухопътен транспорт ","H49",81159,2011,"Q4"
"Воден транспорт","H50",2874,2011,"Q4"
"Въздушен транспорт","H51",2190,2011,"Q4"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",30836,2011,"Q4"
"Пощенски и куриерски услуги","H53",19021,2011,"Q4"
"Хотелиерство и ресторантьорство","I",111886,2011,"Q4"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",63856,2011,"Q4"
"Издателска дейност","J58",5934,2011,"Q4"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2034,2011,"Q4"
"Радио- и телевизионна дейност","J60",3245,2011,"Q4"
"Далекосъобщения","J61",21531,2011,"Q4"
"Дейности в областта на информационните технологии","J62",25952,2011,"Q4"
"Информационни услуги","J63",5160,2011,"Q4"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",57655,2011,"Q4"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",86611,2011,"Q4"
"Добивна промишленост","B",24865,2012,"Q1"
"Добив на въглища","B05",13074,2012,"Q1"
"Добив на метални руди","B07",6741,2012,"Q1"
"Добив на неметални материали и суровини","B08",4318,2012,"Q1"
"Преработваща промишленост","C",501865,2012,"Q1"
"Производство на хранителни продукти ","C10",76992,2012,"Q1"
"Производство на напитки","C11",13355,2012,"Q1"
"Производство на тютюневи изделия ","C12",3511,2012,"Q1"
"Производство на текстил и изделия от текстил, без  облекло","C13",10682,2012,"Q1"
"Производство на облекло","C14",103461,2012,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",16710,2012,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",14405,2012,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",9002,2012,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",8428,2012,"Q1"
"Производство на химични продукти","C20",13239,2012,"Q1"
"Производство на изделия от каучук и пластмаси","C22",22733,2012,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",19958,2012,"Q1"
"Производство на основни метали","C24",11834,2012,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",50321,2012,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",7967,2012,"Q1"
"Производство на електрически съоръжения","C27",18428,2012,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",28993,2012,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",12473,2012,"Q1"
"Производство на превозни средства, без автомобили","C30",5106,2012,"Q1"
"Производство на мебели","C31",20820,2012,"Q1"
"Производство, некласифицирано другаде ","C32",7384,2012,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",16076,2012,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",31735,2012,"Q1"
"Събиране,пречистване и доставяне на води","Е36",17313,2012,"Q1"
"Продукти за междинно потребление","MIG_ING",153873,2012,"Q1"
"Енергийни продукти","MIG_NRG",65117,2012,"Q1"
"Инвестиционни продукти","MIG_CAG",92212,2012,"Q1"
"Потребителски дълготрайни продукти","MIG_DCOG",28711,2012,"Q1"
"Потребителски недълготрайни продукти","MIG_NDCOG",235865,2012,"Q1"
"Строителство","F",139296,2012,"Q1"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",35416,2012,"Q1"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",142785,2012,"Q1"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",214332,2012,"Q1"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",199986,2012,"Q1"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",78269,2012,"Q1"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",136063,2012,"Q1"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",121717,2012,"Q1"
"Транспорт, складиране и пощи - общо","H",136897,2012,"Q1"
"Сухопътен транспорт ","H49",83462,2012,"Q1"
"Воден транспорт","H50",2838,2012,"Q1"
"Въздушен транспорт","H51",2137,2012,"Q1"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",29913,2012,"Q1"
"Пощенски и куриерски услуги","H53",18547,2012,"Q1"
"Хотелиерство и ресторантьорство","I",109482,2012,"Q1"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",66537,2012,"Q1"
"Издателска дейност","J58",6384,2012,"Q1"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2562,2012,"Q1"
"Радио- и телевизионна дейност","J60",3191,2012,"Q1"
"Далекосъобщения","J61",21886,2012,"Q1"
"Дейности в областта на информационните технологии","J62",26835,2012,"Q1"
"Информационни услуги","J63",5679,2012,"Q1"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",61573,2012,"Q1"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",90113,2012,"Q1"
"Добивна промишленост","B",25030,2012,"Q2"
"Добив на въглища","B05",12906,2012,"Q2"
"Добив на метални руди","B07",6716,2012,"Q2"
"Добив на неметални материали и суровини","B08",4669,2012,"Q2"
"Преработваща промишленост","C",504513,2012,"Q2"
"Производство на хранителни продукти ","C10",77257,2012,"Q2"
"Производство на напитки","C11",13731,2012,"Q2"
"Производство на тютюневи изделия ","C12",3437,2012,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",10342,2012,"Q2"
"Производство на облекло","C14",101926,2012,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",16991,2012,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",14894,2012,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",9083,2012,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",8345,2012,"Q2"
"Производство на химични продукти","C20",13028,2012,"Q2"
"Производство на изделия от каучук и пластмаси","C22",23195,2012,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",20362,2012,"Q2"
"Производство на основни метали","C24",11781,2012,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",50904,2012,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",8013,2012,"Q2"
"Производство на електрически съоръжения","C27",18815,2012,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",29597,2012,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",13004,2012,"Q2"
"Производство на превозни средства, без автомобили","C30",5090,2012,"Q2"
"Производство на мебели","C31",20803,2012,"Q2"
"Производство, некласифицирано другаде ","C32",7558,2012,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",16330,2012,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",31818,2012,"Q2"
"Събиране,пречистване и доставяне на води","Е36",17294,2012,"Q2"
"Продукти за междинно потребление","MIG_ING",156147,2012,"Q2"
"Енергийни продукти","MIG_NRG",64901,2012,"Q2"
"Инвестиционни продукти","MIG_CAG",93607,2012,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",28698,2012,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",235302,2012,"Q2"
"Строителство","F",141747,2012,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",36218,2012,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",143973,2012,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",218416,2012,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",204084,2012,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",79324,2012,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",139092,2012,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",124760,2012,"Q2"
"Транспорт, складиране и пощи - общо","H",138677,2012,"Q2"
"Сухопътен транспорт ","H49",84002,2012,"Q2"
"Воден транспорт","H50",2768,2012,"Q2"
"Въздушен транспорт","H51",2331,2012,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",31217,2012,"Q2"
"Пощенски и куриерски услуги","H53",18359,2012,"Q2"
"Хотелиерство и ресторантьорство","I",155214,2012,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",66778,2012,"Q2"
"Издателска дейност","J58",6209,2012,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2525,2012,"Q2"
"Радио- и телевизионна дейност","J60",3213,2012,"Q2"
"Далекосъобщения","J61",21392,2012,"Q2"
"Дейности в областта на информационните технологии","J62",27563,2012,"Q2"
"Информационни услуги","J63",5876,2012,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",61336,2012,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",94376,2012,"Q2"
"Добивна промишленост","B",24744,2012,"Q3"
"Добив на въглища","B05",12751,2012,"Q3"
"Добив на метални руди","B07",6694,2012,"Q3"
"Добив на неметални материали и суровини","B08",4545,2012,"Q3"
"Преработваща промишленост","C",503156,2012,"Q3"
"Производство на хранителни продукти ","C10",77259,2012,"Q3"
"Производство на напитки","C11",13865,2012,"Q3"
"Производство на тютюневи изделия ","C12",2939,2012,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",10703,2012,"Q3"
"Производство на облекло","C14",102989,2012,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",16381,2012,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",14858,2012,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",8988,2012,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",8157,2012,"Q3"
"Производство на химични продукти","C20",12919,2012,"Q3"
"Производство на изделия от каучук и пластмаси","C22",23745,2012,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",20937,2012,"Q3"
"Производство на основни метали","C24",11295,2012,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",50251,2012,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",7926,2012,"Q3"
"Производство на електрически съоръжения","C27",19120,2012,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",29744,2012,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",12815,2012,"Q3"
"Производство на превозни средства, без автомобили","C30",4714,2012,"Q3"
"Производство на мебели","C31",20931,2012,"Q3"
"Производство, некласифицирано другаде ","C32",7261,2012,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",15297,2012,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",31746,2012,"Q3"
"Събиране,пречистване и доставяне на води","Е36",17276,2012,"Q3"
"Продукти за междинно потребление","MIG_ING",156616,2012,"Q3"
"Енергийни продукти","MIG_NRG",64625,2012,"Q3"
"Инвестиционни продукти","MIG_CAG",92069,2012,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",28612,2012,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",235000,2012,"Q3"
"Строителство","F",139781,2012,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",35252,2012,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",143143,2012,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",215598,2012,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",201045,2012,"Q3"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",77665,2012,"Q3"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",137933,2012,"Q3"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",123380,2012,"Q3"
"Транспорт, складиране и пощи - общо","H",138284,2012,"Q3"
"Сухопътен транспорт ","H49",84309,2012,"Q3"
"Воден транспорт","H50",2706,2012,"Q3"
"Въздушен транспорт","H51",2320,2012,"Q3"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",30496,2012,"Q3"
"Пощенски и куриерски услуги","H53",18453,2012,"Q3"
"Хотелиерство и ресторантьорство","I",128591,2012,"Q3"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",66601,2012,"Q3"
"Издателска дейност","J58",6143,2012,"Q3"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2376,2012,"Q3"
"Радио- и телевизионна дейност","J60",3227,2012,"Q3"
"Далекосъобщения","J61",21576,2012,"Q3"
"Дейности в областта на информационните технологии","J62",27514,2012,"Q3"
"Информационни услуги","J63",5765,2012,"Q3"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",60728,2012,"Q3"
