"sektori","kod","naeti","year","quarter"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",41273,2001,"Q1"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",68340,2001,"Q1"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",54890,2001,"Q1"
"Транспорт, складиране и пощи - общо","H",128447,2001,"Q1"
"Сухопътен транспорт ","H49",76856,2001,"Q1"
"Воден транспорт","H50",6060,2001,"Q1"
"Въздушен транспорт","H51",3125,2001,"Q1"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",25432,2001,"Q1"
"Пощенски и куриерски услуги","H53",16974,2001,"Q1"
"Хотелиерство и ресторантьорство","I",49131,2001,"Q1"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",45118,2001,"Q1"
"Издателска дейност","J58",6523,2001,"Q1"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1544,2001,"Q1"
"Радио- и телевизионна дейност","J60",2216,2001,"Q1"
"Далекосъобщения","J61",28833,2001,"Q1"
"Дейности в областта на информационните технологии","J62",4308,2001,"Q1"
"Информационни услуги","J63",1694,2001,"Q1"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",34549,2001,"Q1"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",26690,2001,"Q1"
"Добивна промишленост","B",35528,2001,"Q2"
"Добив на въглища","B05",19192,2001,"Q2"
"Добив на метални руди","B07",9087,2001,"Q2"
"Добив на неметални материали и суровини","B08",6008,2001,"Q2"
"Преработваща промишленост","C",574017,2001,"Q2"
"Производство на хранителни продукти ","C10",68413,2001,"Q2"
"Производство на напитки","C11",19378,2001,"Q2"
"Производство на тютюневи изделия ","C12",12058,2001,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",24832,2001,"Q2"
"Производство на облекло","C14",126865,2001,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",20868,2001,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",15384,2001,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",12050,2001,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",3705,2001,"Q2"
"Производство на кокс и рафинирани нефтопродукти","C19",10454,2001,"Q2"
"Производство на химични продукти","C20",22481,2001,"Q2"
"Производство на лекарствени вещества и продукти","C21",9623,2001,"Q2"
"Производство на изделия от каучук и пластмаси","C22",15840,2001,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",23402,2001,"Q2"
"Производство на основни метали","C24",28134,2001,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",37718,2001,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",12764,2001,"Q2"
"Производство на електрически съоръжения","C27",17447,2001,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",42404,2001,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",3750,2001,"Q2"
"Производство на превозни средства, без автомобили","C30",3676,2001,"Q2"
"Производство на мебели","C31",15563,2001,"Q2"
"Производство, некласифицирано другаде ","C32",6715,2001,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",20493,2001,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",41522,2001,"Q2"
"Събиране,пречистване и доставяне на води","Е36",19477,2001,"Q2"
"Продукти за междинно потребление","MIG_ING",183449,2001,"Q2"
"Енергийни продукти","MIG_NRG",91850,2001,"Q2"
"Инвестиционни продукти","MIG_CAG",103739,2001,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",21305,2001,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",270201,2001,"Q2"
"Строителство","F",102189,2001,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",14306,2001,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",93908,2001,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",111439,2001,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",97610,2001,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",43560,2001,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",67879,2001,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",54050,2001,"Q2"
"Транспорт, складиране и пощи - общо","H",129437,2001,"Q2"
"Сухопътен транспорт ","H49",76436,2001,"Q2"
"Воден транспорт","H50",6076,2001,"Q2"
"Въздушен транспорт","H51",3104,2001,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",26388,2001,"Q2"
"Пощенски и куриерски услуги","H53",17433,2001,"Q2"
"Хотелиерство и ресторантьорство","I",66178,2001,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",46422,2001,"Q2"
"Издателска дейност","J58",6867,2001,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1504,2001,"Q2"
"Радио- и телевизионна дейност","J60",2937,2001,"Q2"
"Далекосъобщения","J61",28920,2001,"Q2"
"Дейности в областта на информационните технологии","J62",4552,2001,"Q2"
"Информационни услуги","J63",1642,2001,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",33901,2001,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",38463,2001,"Q2"
"Добивна промишленост","B",35000,2001,"Q3"
"Добив на въглища","B05",18905,2001,"Q3"
"Добив на метални руди","B07",8818,2001,"Q3"
"Добив на неметални материали и суровини","B08",6055,2001,"Q3"
"Преработваща промишленост","C",557573,2001,"Q3"
"Производство на хранителни продукти ","C10",69389,2001,"Q3"
"Производство на напитки","C11",19158,2001,"Q3"
"Производство на тютюневи изделия ","C12",7659,2001,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",24203,2001,"Q3"
"Производство на облекло","C14",124425,2001,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",20912,2001,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",14951,2001,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",11763,2001,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",3696,2001,"Q3"
"Производство на кокс и рафинирани нефтопродукти","C19",10041,2001,"Q3"
"Производство на химични продукти","C20",22031,2001,"Q3"
"Производство на лекарствени вещества и продукти","C21",9659,2001,"Q3"
"Производство на изделия от каучук и пластмаси","C22",15690,2001,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",22946,2001,"Q3"
"Производство на основни метали","C24",27139,2001,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",36866,2001,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",12153,2001,"Q3"
"Производство на електрически съоръжения","C27",17395,2001,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",40180,2001,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",3611,2001,"Q3"
"Производство на превозни средства, без автомобили","C30",3832,2001,"Q3"
"Производство на мебели","C31",13873,2001,"Q3"
"Производство, некласифицирано другаде ","C32",6389,2001,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",19612,2001,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",40500,2001,"Q3"
"Събиране,пречистване и доставяне на води","Е36",17981,2001,"Q3"
"Продукти за междинно потребление","MIG_ING",179722,2001,"Q3"
"Енергийни продукти","MIG_NRG",88613,2001,"Q3"
"Инвестиционни продукти","MIG_CAG",99637,2001,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",19491,2001,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",263591,2001,"Q3"
"Строителство","F",100137,2001,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",14982,2001,"Q3"
