"unit","wstatus","nace_r2","geo","time","values"
"PC","EMP","O-U","BG343",2013,NA
"PC","EMP","O-U","BG344",2013,NA
"PC","EMP","O-U","BG4",2013,NA
"PC","EMP","O-U","BG41",2013,NA
"PC","EMP","O-U","BG411",2013,NA
"PC","EMP","O-U","BG412",2013,NA
"PC","EMP","O-U","BG413",2013,NA
"PC","EMP","O-U","BG414",2013,NA
"PC","EMP","O-U","BG415",2013,NA
"PC","EMP","O-U","BG42",2013,NA
"PC","EMP","O-U","BG421",2013,NA
"PC","EMP","O-U","BG422",2013,NA
"PC","EMP","O-U","BG423",2013,NA
"PC","EMP","O-U","BG424",2013,NA
"PC","EMP","O-U","BG425",2013,NA
"PC","EMP","R-U","BG",2013,NA
"PC","EMP","R-U","BG3",2013,NA
"PC","EMP","R-U","BG31",2013,NA
"PC","EMP","R-U","BG311",2013,NA
"PC","EMP","R-U","BG312",2013,NA
"PC","EMP","R-U","BG313",2013,NA
"PC","EMP","R-U","BG314",2013,NA
"PC","EMP","R-U","BG315",2013,NA
"PC","EMP","R-U","BG32",2013,NA
"PC","EMP","R-U","BG321",2013,NA
"PC","EMP","R-U","BG322",2013,NA
"PC","EMP","R-U","BG323",2013,NA
"PC","EMP","R-U","BG324",2013,NA
"PC","EMP","R-U","BG325",2013,NA
"PC","EMP","R-U","BG33",2013,NA
"PC","EMP","R-U","BG331",2013,NA
"PC","EMP","R-U","BG332",2013,NA
"PC","EMP","R-U","BG333",2013,NA
"PC","EMP","R-U","BG334",2013,NA
"PC","EMP","R-U","BG34",2013,NA
"PC","EMP","R-U","BG341",2013,NA
"PC","EMP","R-U","BG342",2013,NA
"PC","EMP","R-U","BG343",2013,NA
"PC","EMP","R-U","BG344",2013,NA
"PC","EMP","R-U","BG4",2013,NA
"PC","EMP","R-U","BG41",2013,NA
"PC","EMP","R-U","BG411",2013,NA
"PC","EMP","R-U","BG412",2013,NA
"PC","EMP","R-U","BG413",2013,NA
"PC","EMP","R-U","BG414",2013,NA
"PC","EMP","R-U","BG415",2013,NA
"PC","EMP","R-U","BG42",2013,NA
"PC","EMP","R-U","BG421",2013,NA
"PC","EMP","R-U","BG422",2013,NA
"PC","EMP","R-U","BG423",2013,NA
"PC","EMP","R-U","BG424",2013,NA
"PC","EMP","R-U","BG425",2013,NA
"PC","EMP","TOTAL","BG",2013,3421.58
"PC","EMP","TOTAL","BG3",2013,1555.13
