"currency","unit","sizeclas","nace_r2","lcstruct","geo","time","values"
"EUR","P_SAL_H","10-49","M75","D111","BG",2012,1.58
"EUR","P_SAL_H","10-49","M75","D1111","BG",2012,1.47
"EUR","P_SAL_H","10-49","N","D01","BG",2012,2.09
"EUR","P_SAL_H","10-49","N","D111","BG",2012,1.78
"EUR","P_SAL_H","10-49","N","D1111","BG",2012,1.66
"EUR","P_SAL_H","10-49","N77","D01","BG",2012,3.8
"EUR","P_SAL_H","10-49","N77","D111","BG",2012,3.24
"EUR","P_SAL_H","10-49","N77","D1111","BG",2012,3.03
"EUR","P_SAL_H","10-49","N78","D01","BG",2012,3.52
"EUR","P_SAL_H","10-49","N78","D111","BG",2012,2.97
"EUR","P_SAL_H","10-49","N78","D1111","BG",2012,2.75
"EUR","P_SAL_H","10-49","N79","D01","BG",2012,3.22
"EUR","P_SAL_H","10-49","N79","D111","BG",2012,2.75
"EUR","P_SAL_H","10-49","N79","D1111","BG",2012,2.58
"EUR","P_SAL_H","10-49","N80","D01","BG",2012,1.51
"EUR","P_SAL_H","10-49","N80","D111","BG",2012,1.28
"EUR","P_SAL_H","10-49","N80","D1111","BG",2012,1.2
"EUR","P_SAL_H","10-49","N81","D01","BG",2012,1.55
"EUR","P_SAL_H","10-49","N81","D111","BG",2012,1.35
"EUR","P_SAL_H","10-49","N81","D1111","BG",2012,1.25
"EUR","P_SAL_H","10-49","N82","D01","BG",2012,3.12
"EUR","P_SAL_H","10-49","N82","D111","BG",2012,2.7
"EUR","P_SAL_H","10-49","N82","D1111","BG",2012,2.51
"EUR","P_SAL_H","10-49","O","D01","BG",2012,4.69
"EUR","P_SAL_H","10-49","O","D111","BG",2012,3.68
"EUR","P_SAL_H","10-49","O","D1111","BG",2012,3.13
"EUR","P_SAL_H","10-49","O-S","D01","BG",2012,3.04
"EUR","P_SAL_H","10-49","O-S","D111","BG",2012,2.48
"EUR","P_SAL_H","10-49","O-S","D1111","BG",2012,2.11
"EUR","P_SAL_H","10-49","O84","D01","BG",2012,4.69
"EUR","P_SAL_H","10-49","O84","D111","BG",2012,3.68
"EUR","P_SAL_H","10-49","O84","D1111","BG",2012,3.13
"EUR","P_SAL_H","10-49","P","D01","BG",2012,2.99
"EUR","P_SAL_H","10-49","P","D111","BG",2012,2.43
"EUR","P_SAL_H","10-49","P","D1111","BG",2012,2
"EUR","P_SAL_H","10-49","P-S","D01","BG",2012,2.8
"EUR","P_SAL_H","10-49","P-S","D111","BG",2012,2.3
"EUR","P_SAL_H","10-49","P-S","D1111","BG",2012,1.96
"EUR","P_SAL_H","10-49","P85","D01","BG",2012,2.99
"EUR","P_SAL_H","10-49","P85","D111","BG",2012,2.43
