sektori,zaplata,year,trimesechie
tyrgowiq,195,2002,3
hoteli,165,2002,3
transport,330,2002,3
finansi,563,2002,3
imoti,251,2002,3
dyrvawnouprawlenie,368,2002,3
obrazowanie,257,2002,3
zdraweopazwane,254,2002,3
drugi,235,2002,3
obshto,267,2002,4
selsko,190,2002,4
dobiwna,416,2002,4
prerabodwashta,246,2002,4
energiq i woda,476,2002,4
stroitelstwo,212,2002,4
tyrgowiq,199,2002,4
hoteli,163,2002,4
transport,344,2002,4
finansi,646,2002,4
imoti,252,2002,4
dyrvawnouprawlenie,385,2002,4
obrazowanie,263,2002,4
zdraweopazwane,263,2002,4
drugi,220,2002,4
obshto,264,2003,1
selsko,192,2003,1
dobiwna,424,2003,1
prerabodwashta,242,2003,1
energiq i woda,469,2003,1
stroitelstwo,219,2003,1
tyrgowiq,219,2003,1
hoteli,176,2003,1
transport,319,2003,1
finansi,554,2003,1
imoti,257,2003,1
dyrvawnouprawlenie,371,2003,1
obrazowanie,258,2003,1
zdraweopazwane,265,2003,1
drugi,197,2003,1
obshto,275,2003,2
selsko,204,2003,2
dobiwna,427,2003,2
prerabodwashta,248,2003,2
energiq i woda,499,2003,2
stroitelstwo,234,2003,2
tyrgowiq,225,2003,2
hoteli,182,2003,2
transport,341,2003,2
finansi,622,2003,2
imoti,259,2003,2
dyrvawnouprawlenie,382,2003,2
obrazowanie,300,2003,2
zdraweopazwane,279,2003,2
drugi,188,2003,2
obshto,275,2003,3
selsko,215,2003,3
dobiwna,438,2003,3
prerabodwashta,251,2003,3
energiq i woda,506,2003,3
stroitelstwo,232,2003,3
tyrgowiq,219,2003,3
hoteli,175,2003,3
transport,349,2003,3
finansi,629,2003,3
imoti,257,2003,3
dyrvawnouprawlenie,394,2003,3
obrazowanie,289,2003,3
zdraweopazwane,299,2003,3
drugi,187,2003,3
obshto,284,2003,4
selsko,209,2003,4
dobiwna,444,2003,4
prerabodwashta,251,2003,4
energiq i woda,543,2003,4
stroitelstwo,241,2003,4
tyrgowiq,229,2003,4
hoteli,179,2003,4
transport,355,2003,4
finansi,643,2003,4
imoti,274,2003,4
dyrvawnouprawlenie,424,2003,4
obrazowanie,298,2003,4
zdraweopazwane,312,2003,4
drugi,197,2003,4
obshto,279,2004,1
selsko,203,2004,1
dobiwna,448,2004,1
prerabodwashta,255,2004,1
energiq i woda,513,2004,1
stroitelstwo,236,2004,1
tyrgowiq,233,2004,1
hoteli,175,2004,1
transport,332,2004,1
finansi,627,2004,1
imoti,262,2004,1
dyrvawnouprawlenie,411,2004,1
obrazowanie,279,2004,1
zdraweopazwane,300,2004,1
drugi,197,2004,1
obshto,288,2004,2
selsko,215,2004,2
dobiwna,470,2004,2
prerabodwashta,264,2004,2
energiq i woda,536,2004,2
stroitelstwo,241,2004,2
tyrgowiq,239,2004,2
hoteli,184,2004,2
transport,339,2004,2
finansi,653,2004,2
imoti,265,2004,2
dyrvawnouprawlenie,408,2004,2
obrazowanie,310,2004,2
zdraweopazwane,316,2004,2
drugi,194,2004,2
obshto,293,2004,3
selsko,230,2004,3
dobiwna,475,2004,3
prerabodwashta,267,2004,3
energiq i woda,532,2004,3
stroitelstwo,244,2004,3
tyrgowiq,235,2004,3
hoteli,179,2004,3
transport,372,2004,3
finansi,653,2004,3
imoti,271,2004,3
dyrvawnouprawlenie,433,2004,3
obrazowanie,317,2004,3
zdraweopazwane,326,2004,3
drugi,196,2004,3
obshto,304,2004,4
selsko,224,2004,4
dobiwna,496,2004,4
prerabodwashta,271,2004,4
energiq i woda,553,2004,4
stroitelstwo,261,2004,4
tyrgowiq,245,2004,4
hoteli,181,2004,4
transport,372,2004,4
finansi,663,2004,4
imoti,287,2004,4
dyrvawnouprawlenie,470,2004,4
obrazowanie,324,2004,4
zdraweopazwane,337,2004,4
drugi,209,2004,4
obshto,303,2005,1
selsko,223,2005,1
dobiwna,507,2005,1
prerabodwashta,278,2005,1
energiq i woda,536,2005,1
stroitelstwo,247,2005,1
tyrgowiq,229,2005,1
hoteli,197,2005,1
transport,383,2005,1
finansi,708,2005,1
imoti,286,2005,1
dyrvawnouprawlenie,430,2005,1
obrazowanie,307,2005,1
zdraweopazwane,344,2005,1
drugi,236,2005,1
obshto,317,2005,2
selsko,236,2005,2
dobiwna,526,2005,2
