sektori,naeti,year,month
obrazowanie,196673,2004,11
zdraweopazwane,138444,2004,11
drugi,120748,2004,11
obshto,2183464,2004,12
selsko,65587,2004,12
dobiwna,29481,2004,12
prerabodwashta,609917,2004,12
energiq i woda,57329,2004,12
stroitelstwo,127558,2004,12
tyrgowiq,324069,2004,12
hoteli,77347,2004,12
transport,157724,2004,12
finansi,32503,2004,12
imoti,134585,2004,12
dyrvawnouprawlenie,118843,2004,12
obrazowanie,195905,2004,12
zdraweopazwane,137968,2004,12
drugi,114648,2004,12
obshto,2191894,2005,1
selsko,63731,2005,1
dobiwna,29421,2005,1
prerabodwashta,611645,2005,1
energiq i woda,57990,2005,1
stroitelstwo,135128,2005,1
tyrgowiq,319142,2005,1
hoteli,77612,2005,1
transport,162947,2005,1
finansi,32890,2005,1
imoti,142248,2005,1
dyrvawnouprawlenie,127397,2005,1
obrazowanie,196024,2005,1
zdraweopazwane,127322,2005,1
drugi,108397,2005,1
obshto,2195119,2005,2
selsko,62650,2005,2
dobiwna,28887,2005,2
prerabodwashta,610566,2005,2
energiq i woda,57935,2005,2
stroitelstwo,134052,2005,2
tyrgowiq,319968,2005,2
hoteli,76770,2005,2
transport,162556,2005,2
finansi,33071,2005,2
imoti,142734,2005,2
dyrvawnouprawlenie,129078,2005,2
obrazowanie,196578,2005,2
zdraweopazwane,127782,2005,2
drugi,112492,2005,2
obshto,2205970,2005,3
selsko,67525,2005,3
dobiwna,28794,2005,3
prerabodwashta,610367,2005,3
energiq i woda,57796,2005,3
stroitelstwo,136277,2005,3
tyrgowiq,319709,2005,3
hoteli,77328,2005,3
transport,162860,2005,3
finansi,33268,2005,3
imoti,142465,2005,3
dyrvawnouprawlenie,131090,2005,3
obrazowanie,197107,2005,3
zdraweopazwane,128203,2005,3
drugi,113181,2005,3
obshto,2259663,2005,4
selsko,71898,2005,4
dobiwna,28756,2005,4
prerabodwashta,620509,2005,4
energiq i woda,57566,2005,4
stroitelstwo,144215,2005,4
tyrgowiq,333343,2005,4
hoteli,93724,2005,4
transport,165420,2005,4
finansi,33571,2005,4
imoti,141200,2005,4
dyrvawnouprawlenie,133459,2005,4
obrazowanie,197054,2005,4
zdraweopazwane,128884,2005,4
drugi,110064,2005,4
obshto,2263378,2005,5
selsko,73161,2005,5
dobiwna,28668,2005,5
prerabodwashta,616677,2005,5
energiq i woda,57386,2005,5
stroitelstwo,143608,2005,5
tyrgowiq,331824,2005,5
hoteli,100615,2005,5
transport,166180,2005,5
finansi,33671,2005,5
imoti,141642,2005,5
dyrvawnouprawlenie,134175,2005,5
obrazowanie,196493,2005,5
