"currency","nace_r2","geo","time","values"
"MIO_EUR","L","BG42",2013,NA
"MIO_EUR","L","BG421",2013,NA
"MIO_EUR","L","BG422",2013,NA
"MIO_EUR","L","BG423",2013,NA
"MIO_EUR","L","BG424",2013,NA
"MIO_EUR","L","BG425",2013,NA
"MIO_EUR","M_N","BG",2013,NA
"MIO_EUR","M_N","BG3",2013,NA
"MIO_EUR","M_N","BG31",2013,NA
"MIO_EUR","M_N","BG311",2013,NA
"MIO_EUR","M_N","BG312",2013,NA
"MIO_EUR","M_N","BG313",2013,NA
"MIO_EUR","M_N","BG314",2013,NA
"MIO_EUR","M_N","BG315",2013,NA
"MIO_EUR","M_N","BG32",2013,NA
"MIO_EUR","M_N","BG321",2013,NA
"MIO_EUR","M_N","BG322",2013,NA
"MIO_EUR","M_N","BG323",2013,NA
"MIO_EUR","M_N","BG324",2013,NA
"MIO_EUR","M_N","BG325",2013,NA
"MIO_EUR","M_N","BG33",2013,NA
"MIO_EUR","M_N","BG331",2013,NA
"MIO_EUR","M_N","BG332",2013,NA
"MIO_EUR","M_N","BG333",2013,NA
"MIO_EUR","M_N","BG334",2013,NA
"MIO_EUR","M_N","BG34",2013,NA
"MIO_EUR","M_N","BG341",2013,NA
"MIO_EUR","M_N","BG342",2013,NA
"MIO_EUR","M_N","BG343",2013,NA
"MIO_EUR","M_N","BG344",2013,NA
"MIO_EUR","M_N","BG4",2013,NA
"MIO_EUR","M_N","BG41",2013,NA
"MIO_EUR","M_N","BG411",2013,NA
"MIO_EUR","M_N","BG412",2013,NA
"MIO_EUR","M_N","BG413",2013,NA
"MIO_EUR","M_N","BG414",2013,NA
"MIO_EUR","M_N","BG415",2013,NA
"MIO_EUR","M_N","BG42",2013,NA
"MIO_EUR","M_N","BG421",2013,NA
"MIO_EUR","M_N","BG422",2013,NA
"MIO_EUR","M_N","BG423",2013,NA
"MIO_EUR","M_N","BG424",2013,NA
"MIO_EUR","M_N","BG425",2013,NA
"MIO_EUR","O-Q","BG",2013,NA
"MIO_EUR","O-Q","BG3",2013,NA
"MIO_EUR","O-Q","BG31",2013,NA
"MIO_EUR","O-Q","BG311",2013,NA
"MIO_EUR","O-Q","BG312",2013,NA
"MIO_EUR","O-Q","BG313",2013,NA
"MIO_EUR","O-Q","BG314",2013,NA
"MIO_EUR","O-Q","BG315",2013,NA
"MIO_EUR","O-Q","BG32",2013,NA
"MIO_EUR","O-Q","BG321",2013,NA
"MIO_EUR","O-Q","BG322",2013,NA
"MIO_EUR","O-Q","BG323",2013,NA
"MIO_EUR","O-Q","BG324",2013,NA
"MIO_EUR","O-Q","BG325",2013,NA
"MIO_EUR","O-Q","BG33",2013,NA
"MIO_EUR","O-Q","BG331",2013,NA
"MIO_EUR","O-Q","BG332",2013,NA
"MIO_EUR","O-Q","BG333",2013,NA
"MIO_EUR","O-Q","BG334",2013,NA
"MIO_EUR","O-Q","BG34",2013,NA
"MIO_EUR","O-Q","BG341",2013,NA
"MIO_EUR","O-Q","BG342",2013,NA
"MIO_EUR","O-Q","BG343",2013,NA
"MIO_EUR","O-Q","BG344",2013,NA
"MIO_EUR","O-Q","BG4",2013,NA
"MIO_EUR","O-Q","BG41",2013,NA
"MIO_EUR","O-Q","BG411",2013,NA
"MIO_EUR","O-Q","BG412",2013,NA
"MIO_EUR","O-Q","BG413",2013,NA
"MIO_EUR","O-Q","BG414",2013,NA
"MIO_EUR","O-Q","BG415",2013,NA
"MIO_EUR","O-Q","BG42",2013,NA
"MIO_EUR","O-Q","BG421",2013,NA
"MIO_EUR","O-Q","BG422",2013,NA
"MIO_EUR","O-Q","BG423",2013,NA
"MIO_EUR","O-Q","BG424",2013,NA
"MIO_EUR","O-Q","BG425",2013,NA
"MIO_EUR","O-U","BG",2013,NA
"MIO_EUR","O-U","BG3",2013,NA
"MIO_EUR","O-U","BG31",2013,NA
"MIO_EUR","O-U","BG311",2013,NA
"MIO_EUR","O-U","BG312",2013,NA
"MIO_EUR","O-U","BG313",2013,NA
"MIO_EUR","O-U","BG314",2013,NA
"MIO_EUR","O-U","BG315",2013,NA
"MIO_EUR","O-U","BG32",2013,NA
"MIO_EUR","O-U","BG321",2013,NA
"MIO_EUR","O-U","BG322",2013,NA
"MIO_EUR","O-U","BG323",2013,NA
"MIO_EUR","O-U","BG324",2013,NA
"MIO_EUR","O-U","BG325",2013,NA
"MIO_EUR","O-U","BG33",2013,NA
"MIO_EUR","O-U","BG331",2013,NA
"MIO_EUR","O-U","BG332",2013,NA
"MIO_EUR","O-U","BG333",2013,NA
"MIO_EUR","O-U","BG334",2013,NA
"MIO_EUR","O-U","BG34",2013,NA
"MIO_EUR","O-U","BG341",2013,NA
"MIO_EUR","O-U","BG342",2013,NA
"MIO_EUR","O-U","BG343",2013,NA
"MIO_EUR","O-U","BG344",2013,NA
"MIO_EUR","O-U","BG4",2013,NA
"MIO_EUR","O-U","BG41",2013,NA
"MIO_EUR","O-U","BG411",2013,NA
"MIO_EUR","O-U","BG412",2013,NA
"MIO_EUR","O-U","BG413",2013,NA
"MIO_EUR","O-U","BG414",2013,NA
"MIO_EUR","O-U","BG415",2013,NA
"MIO_EUR","O-U","BG42",2013,NA
"MIO_EUR","O-U","BG421",2013,NA
"MIO_EUR","O-U","BG422",2013,NA
"MIO_EUR","O-U","BG423",2013,NA
"MIO_EUR","O-U","BG424",2013,NA
"MIO_EUR","O-U","BG425",2013,NA
"MIO_EUR","R-U","BG",2013,NA
"MIO_EUR","R-U","BG3",2013,NA
"MIO_EUR","R-U","BG31",2013,NA
"MIO_EUR","R-U","BG311",2013,NA
"MIO_EUR","R-U","BG312",2013,NA
"MIO_EUR","R-U","BG313",2013,NA
"MIO_EUR","R-U","BG314",2013,NA
"MIO_EUR","R-U","BG315",2013,NA
"MIO_EUR","R-U","BG32",2013,NA
"MIO_EUR","R-U","BG321",2013,NA
"MIO_EUR","R-U","BG322",2013,NA
"MIO_EUR","R-U","BG323",2013,NA
"MIO_EUR","R-U","BG324",2013,NA
"MIO_EUR","R-U","BG325",2013,NA
"MIO_EUR","R-U","BG33",2013,NA
"MIO_EUR","R-U","BG331",2013,NA
"MIO_EUR","R-U","BG332",2013,NA
"MIO_EUR","R-U","BG333",2013,NA
"MIO_EUR","R-U","BG334",2013,NA
"MIO_EUR","R-U","BG34",2013,NA
"MIO_EUR","R-U","BG341",2013,NA
"MIO_EUR","R-U","BG342",2013,NA
"MIO_EUR","R-U","BG343",2013,NA
"MIO_EUR","R-U","BG344",2013,NA
"MIO_EUR","R-U","BG4",2013,NA
"MIO_EUR","R-U","BG41",2013,NA
"MIO_EUR","R-U","BG411",2013,NA
"MIO_EUR","R-U","BG412",2013,NA
"MIO_EUR","R-U","BG413",2013,NA
"MIO_EUR","R-U","BG414",2013,NA
"MIO_EUR","R-U","BG415",2013,NA
"MIO_EUR","R-U","BG42",2013,NA
"MIO_EUR","R-U","BG421",2013,NA
"MIO_EUR","R-U","BG422",2013,NA
"MIO_EUR","R-U","BG423",2013,NA
"MIO_EUR","R-U","BG424",2013,NA
"MIO_EUR","R-U","BG425",2013,NA
"MIO_EUR","TOTAL","BG",2013,35344.3
"MIO_EUR","TOTAL","BG3",2013,13538.05
"MIO_EUR","TOTAL","BG31",2013,2678.83
"MIO_EUR","TOTAL","BG311",2013,NA
"MIO_EUR","TOTAL","BG312",2013,NA
"MIO_EUR","TOTAL","BG313",2013,NA
"MIO_EUR","TOTAL","BG314",2013,NA
"MIO_EUR","TOTAL","BG315",2013,NA
"MIO_EUR","TOTAL","BG32",2013,2851.94
