"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y15-64","K","BG","2013Q1",NA
"THS","F","Y15-64","L","BG","2013Q1",NA
"THS","F","Y15-64","M","BG","2013Q1",NA
"THS","F","Y15-64","N","BG","2013Q1",15.4
"THS","F","Y15-64","O","BG","2013Q1",NA
"THS","F","Y15-64","P","BG","2013Q1",NA
"THS","F","Y15-64","Q","BG","2013Q1",NA
"THS","F","Y15-64","R","BG","2013Q1",NA
"THS","F","Y15-64","S","BG","2013Q1",NA
"THS","F","Y15-64","T","BG","2013Q1",NA
"THS","F","Y15-64","TOTAL","BG","2013Q1",48.6
"THS","F","Y15-64","U","BG","2013Q1",NA
"THS","F","Y15-74","A","BG","2013Q1",NA
"THS","F","Y15-74","B","BG","2013Q1",NA
"THS","F","Y15-74","C","BG","2013Q1",NA
"THS","F","Y15-74","D","BG","2013Q1",NA
"THS","F","Y15-74","E","BG","2013Q1",NA
"THS","F","Y15-74","F","BG","2013Q1",NA
"THS","F","Y15-74","G","BG","2013Q1",NA
"THS","F","Y15-74","H","BG","2013Q1",NA
"THS","F","Y15-74","I","BG","2013Q1",NA
"THS","F","Y15-74","J","BG","2013Q1",NA
"THS","F","Y15-74","K","BG","2013Q1",NA
"THS","F","Y15-74","L","BG","2013Q1",NA
"THS","F","Y15-74","M","BG","2013Q1",NA
"THS","F","Y15-74","N","BG","2013Q1",15.6
"THS","F","Y15-74","O","BG","2013Q1",NA
"THS","F","Y15-74","P","BG","2013Q1",NA
"THS","F","Y15-74","Q","BG","2013Q1",NA
"THS","F","Y15-74","R","BG","2013Q1",NA
"THS","F","Y15-74","S","BG","2013Q1",NA
"THS","F","Y15-74","T","BG","2013Q1",NA
"THS","F","Y15-74","TOTAL","BG","2013Q1",49.8
"THS","F","Y15-74","U","BG","2013Q1",NA
"THS","F","Y20-64","A","BG","2013Q1",NA
"THS","F","Y20-64","B","BG","2013Q1",NA
"THS","F","Y20-64","C","BG","2013Q1",NA
"THS","F","Y20-64","D","BG","2013Q1",NA
"THS","F","Y20-64","E","BG","2013Q1",NA
"THS","F","Y20-64","F","BG","2013Q1",NA
"THS","F","Y20-64","G","BG","2013Q1",NA
"THS","F","Y20-64","H","BG","2013Q1",NA
"THS","F","Y20-64","I","BG","2013Q1",NA
"THS","F","Y20-64","J","BG","2013Q1",NA
"THS","F","Y20-64","K","BG","2013Q1",NA
"THS","F","Y20-64","L","BG","2013Q1",NA
"THS","F","Y20-64","M","BG","2013Q1",NA
"THS","F","Y20-64","N","BG","2013Q1",15.4
"THS","F","Y20-64","O","BG","2013Q1",NA
"THS","F","Y20-64","P","BG","2013Q1",NA
"THS","F","Y20-64","Q","BG","2013Q1",NA
"THS","F","Y20-64","R","BG","2013Q1",NA
